dataset,contrast,base_model,compare_model,discordance_status,group_column,group_value,n
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,label,0,5
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,label,1,14
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,variant_type,SNV,5
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,variant_type,SNV,14
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0,0.001]",1
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.001,0.005]",1
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,absent,3
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,absent,14
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,af_abraom_bin,>1e-2,2
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,af_abraom_bin,absent,3
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,af_abraom_bin,absent,14
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,label,0,5
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,label,1,12
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,variant_type,SNV,5
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,variant_type,SNV,12
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0,0.001]",1
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.001,0.005]",1
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.05,0.1]",1
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,absent,2
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,absent,12
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,af_abraom_bin,>1e-2,3
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,af_abraom_bin,absent,2
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,af_abraom_bin,absent,12
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,label,0,1
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,label,1,4
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,label,0,1
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,label,1,2
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,variant_type,SNV,5
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,variant_type,SNV,3
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,"(0.05,0.1]",1
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,absent,4
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,specificity_bin,absent,3
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,af_abraom_bin,>1e-2,1
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,af_abraom_bin,absent,4
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,af_abraom_bin,absent,3
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,label,0,26
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,label,0,26
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,label,1,59
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,variant_type,INDEL,1
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,variant_type,SNV,25
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,variant_type,INDEL,1
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,variant_type,SNV,84
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.01,0.05]",1
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,absent,25
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0,0.001]",2
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.001,0.005]",1
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.005,0.01]",6
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.01,0.05]",14
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.05,0.1]",3
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,absent,59
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,af_abraom_bin,>1e-2,1
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,af_abraom_bin,absent,25
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,af_abraom_bin,>1e-2,26
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,af_abraom_bin,absent,59
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,label,0,23
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,label,0,28
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,label,1,45
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,variant_type,INDEL,1
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,variant_type,SNV,22
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,variant_type,INDEL,1
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,variant_type,SNV,72
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.01,0.05]",1
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,specificity_bin,absent,22
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0,0.001]",3
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.001,0.005]",2
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.005,0.01]",6
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.01,0.05]",14
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.05,0.1]",3
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,specificity_bin,absent,45
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,af_abraom_bin,>1e-2,1
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,base_only_correct,af_abraom_bin,absent,22
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,af_abraom_bin,>1e-2,28
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,compare_only_correct,af_abraom_bin,absent,45
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,label,0,242
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,label,0,7
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,variant_type,SNV,242
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,variant_type,SNV,7
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0,0.001]",20
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.001,0.005]",73
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.005,0.01]",58
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.01,0.05]",84
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.05,0.1]",6
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.1,0.5]",1
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.001,0.005]",1
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.005,0.01]",2
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.01,0.05]",3
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.05,0.1]",1
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,base_only_correct,af_abraom_bin,>1e-2,242
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,compare_only_correct,af_abraom_bin,>1e-2,7
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,label,0,195
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,label,0,19
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,variant_type,SNV,195
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,variant_type,SNV,19
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0,0.001]",12
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.001,0.005]",59
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.005,0.01]",51
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.01,0.05]",64
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.05,0.1]",8
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,specificity_bin,"(0.1,0.5]",1
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0,0.001]",1
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.001,0.005]",4
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.005,0.01]",5
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.01,0.05]",8
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,specificity_bin,"(0.05,0.1]",1
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,base_only_correct,af_abraom_bin,>1e-2,195
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,compare_only_correct,af_abraom_bin,>1e-2,19
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,label,0,33
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,label,0,92
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,variant_type,SNV,33
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,variant_type,SNV,92
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,"(0,0.001]",1
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,"(0.001,0.005]",7
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,"(0.005,0.01]",8
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,"(0.01,0.05]",14
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,specificity_bin,"(0.05,0.1]",3
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,specificity_bin,"(0,0.001]",10
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,specificity_bin,"(0.001,0.005]",24
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,specificity_bin,"(0.005,0.01]",18
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,specificity_bin,"(0.01,0.05]",39
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,specificity_bin,"(0.05,0.1]",1
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,base_only_correct,af_abraom_bin,>1e-2,33
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,compare_only_correct,af_abraom_bin,>1e-2,92
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,label,0,165
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,label,0,1008
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,variant_type,SNV,165
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,variant_type,SNV,1008
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0,0.001]",15
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.001,0.005]",66
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.005,0.01]",48
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.01,0.05]",30
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.05,0.1]",3
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,base_only_correct,specificity_bin,"(0.1,0.5]",3
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0,0.001]",58
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.001,0.005]",199
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.005,0.01]",258
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,compare_only_correct,specificity_bin,"(0.01,0.05]",450
