dataset,column,mean,std,p05,p50,p95
br_only,M4_dynamic_gated__gate_alpha_abraom,0.5007865336087961,0.0005840579888448906,0.500013017654419,0.5006714761257172,0.5018751800060273
br_only,M4_dynamic_gated__gate_alpha_gnomad,0.4992191508885414,0.0005896440767767944,0.4981932759284973,0.4993286430835724,0.5000228881835938
br_only,M4_dynamic_gated__gate_entropy,0.6921234042161987,5.085202407984509e-05,0.6920363783836365,0.6921254396438599,0.6921988964080811
br_only,M7_dynamic_scrambled__gate_alpha_scrambled,0.49365978676175315,0.0003854534756233207,0.49300921708345413,0.49368421733379364,0.4942632049322128
br_only,M7_dynamic_scrambled__gate_alpha_gnomad,0.5063240956219416,0.00038267411161333696,0.5057412564754487,0.506316065788269,0.5069797158241272
br_only,M7_dynamic_scrambled__gate_entropy,0.6912625258167585,5.273928045192009e-05,0.6911773294210434,0.6912607550621033,0.6913524478673935
br_any,M4_dynamic_gated__gate_alpha_abraom,0.5007904934439253,0.0005755411091906226,0.5000334143638611,0.5006785988807678,0.5018673479557038
br_any,M4_dynamic_gated__gate_alpha_gnomad,0.49921430108395026,0.0005798976820063079,0.498202346265316,0.4993228167295456,0.49999474436044694
br_any,M4_dynamic_gated__gate_entropy,0.6921236740147814,5.116026637950425e-05,0.6920363783836365,0.692125678062439,0.6922023862600326
br_any,M7_dynamic_scrambled__gate_alpha_scrambled,0.4936617317985981,0.00038209471277335805,0.49300921708345413,0.49368827044963837,0.4942514389753342
br_any,M7_dynamic_scrambled__gate_alpha_gnomad,0.5063211988684133,0.0003802331875230375,0.5057443916797638,0.5063117444515228,0.5069729894399643
br_any,M7_dynamic_scrambled__gate_entropy,0.6912615711384631,5.242640532423002e-05,0.691178834438324,0.6912594735622406,0.6913492321968079
regional_benchmark_any,M4_dynamic_gated__gate_alpha_abraom,0.5007663273477968,0.0005583698717974022,0.5000102818012238,0.5006623864173889,0.5017574429512024
regional_benchmark_any,M4_dynamic_gated__gate_alpha_gnomad,0.49924002162937337,0.0005711594061552182,0.49824346601963043,0.49933379888534546,0.5000224709510803
regional_benchmark_any,M4_dynamic_gated__gate_entropy,0.6921219619015565,5.230228626783691e-05,0.6920332312583923,0.6921223998069763,0.692204624414444
regional_benchmark_any,M7_dynamic_scrambled__gate_alpha_scrambled,0.49366759545969374,0.00038474041192929293,0.49299876391887665,0.493691623210907,0.49424508213996887
regional_benchmark_any,M7_dynamic_scrambled__gate_alpha_gnomad,0.5063163594048493,0.0003807470319313328,0.5057501196861267,0.5062901973724365,0.5069912672042847
regional_benchmark_any,M7_dynamic_scrambled__gate_entropy,0.691261259641957,5.490332311244063e-05,0.6911715567111969,0.6912602782249451,0.691353440284729
abraom_common_benign,M4_dynamic_gated__gate_alpha_abraom,0.5006823226857534,0.0005054903605308749,0.4999451607465744,0.5006288290023804,0.5015447974205017
abraom_common_benign,M4_dynamic_gated__gate_alpha_gnomad,0.4993218185537284,0.0005194481175596989,0.4984568417072296,0.4993709921836853,0.500084537267685
abraom_common_benign,M4_dynamic_gated__gate_entropy,0.6921253377509045,5.376214336607492e-05,0.6920339465141296,0.6921291351318359,0.6922060310840606
abraom_common_benign,M7_dynamic_scrambled__gate_alpha_scrambled,0.4936927582781338,0.0004089755726543482,0.49306280016899107,0.4937184453010559,0.49427141547203063
abraom_common_benign,M7_dynamic_scrambled__gate_alpha_gnomad,0.506287880402595,0.00040504986597454803,0.5057179808616639,0.5062626600265503,0.506907445192337
abraom_common_benign,M7_dynamic_scrambled__gate_entropy,0.6912632876363153,5.459382601581136e-05,0.6911769986152649,0.6912610530853271,0.6913565397262573
abraom_pathogenic_present,M4_dynamic_gated__gate_alpha_abraom,0.5006599033171414,0.000569408279030016,0.4996900647878647,0.5005922913551331,0.5016197144985199
abraom_pathogenic_present,M4_dynamic_gated__gate_alpha_gnomad,0.4993408781253487,0.0005949833036528038,0.49841257035732267,0.4993746876716614,0.5003404319286346
abraom_pathogenic_present,M4_dynamic_gated__gate_entropy,0.6921198163295816,4.945406959517691e-05,0.6920425355434418,0.6921259760856628,0.6921889185905457
abraom_pathogenic_present,M7_dynamic_scrambled__gate_alpha_scrambled,0.4936298991273517,0.00042039283408233066,0.49304345846176145,0.4936999976634979,0.49414479434490205
abraom_pathogenic_present,M7_dynamic_scrambled__gate_alpha_gnomad,0.5063531537728807,0.00042024253255887767,0.5058353424072266,0.506314754486084,0.5069371819496155
abraom_pathogenic_present,M7_dynamic_scrambled__gate_entropy,0.6912650206337677,5.592074618911313e-05,0.6911808133125306,0.6912657022476196,0.6913500428199768
abraom_pathogenic_common,M4_dynamic_gated__gate_alpha_abraom,0.5006016790866852,0.0005732023955001544,0.4996119052171707,0.5005887150764465,0.5015061676502228
abraom_pathogenic_common,M4_dynamic_gated__gate_alpha_gnomad,0.49940038720766705,0.0006077668204429222,0.49842514246702196,0.499401792883873,0.5004960477352143
abraom_pathogenic_common,M4_dynamic_gated__gate_entropy,0.6921132624149322,5.1998126752514334e-05,0.6920337498188018,0.6921212375164032,0.692185890674591
abraom_pathogenic_common,M7_dynamic_scrambled__gate_alpha_scrambled,0.49364677915970484,0.00029951180034854923,0.4930601239204407,0.4936758279800415,0.49414859861135485
abraom_pathogenic_common,M7_dynamic_scrambled__gate_alpha_gnomad,0.506327478090922,0.00029404572506775095,0.5058518767356872,0.5063387453556061,0.5068394869565964
abraom_pathogenic_common,M7_dynamic_scrambled__gate_entropy,0.6912714600563049,5.552867028845119e-05,0.6911765217781067,0.6912807822227478,0.691350907087326
global_nonbr_no_abraom,M4_dynamic_gated__gate_alpha_abraom,0.5007864768448759,0.0005657169781660589,0.5000170946121216,0.5006725192070007,0.501817500591278
global_nonbr_no_abraom,M4_dynamic_gated__gate_alpha_gnomad,0.49921870962826675,0.0005802781702259151,0.49820799231529234,0.49932703375816345,0.5000200510025025
global_nonbr_no_abraom,M4_dynamic_gated__gate_entropy,0.6921203106177278,5.246566145471759e-05,0.692031729221344,0.6921200156211853,0.6922040700912475
global_nonbr_no_abraom,M7_dynamic_scrambled__gate_alpha_scrambled,0.4936690201646662,0.00039424583667202847,0.4929745554924011,0.4936918616294861,0.49425738453865053
global_nonbr_no_abraom,M7_dynamic_scrambled__gate_alpha_gnomad,0.5063137428253485,0.0003891166169779053,0.5057427883148193,0.5062879920005798,0.5070103287696839
global_nonbr_no_abraom,M7_dynamic_scrambled__gate_entropy,0.6912604809226913,5.601254009572844e-05,0.6911678791046143,0.691260039806366,0.6913535356521606
