dataset,contrast,base_model,compare_model,n,both_correct,both_wrong,base_only_correct,compare_only_correct,mcnemar_p,base_mcc,compare_mcc,delta_mcc,base_recall,compare_recall,delta_recall,base_specificity,compare_specificity,delta_specificity
br_only,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,504,369,116,5,14,0.063568115234375,0.3014585162043642,0.31859349963726635,0.01713498343290215,0.8381962864721485,0.8753315649867374,0.037135278514588865,0.4566929133858268,0.41732283464566927,-0.03937007874015752
br_only,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,504,371,116,5,12,0.143463134765625,0.30869278334458705,0.31859349963726635,0.009900716292679301,0.843501326259947,0.8753315649867374,0.03183023872679036,0.4566929133858268,0.41732283464566927,-0.03937007874015752
br_only,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,504,371,125,5,3,0.7265625,0.30869278334458705,0.3014585162043642,-0.00723426714022285,0.843501326259947,0.8381962864721485,-0.0053050397877985045,0.4566929133858268,0.4566929133858268,0.0
br_only,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,504,348,45,26,85,1.6986304619987468e-08,0.3014585162043642,0.6051392365837596,0.30368072037939536,0.8381962864721485,0.9946949602122016,0.1564986737400531,0.4566929133858268,0.4566929133858268,0.0
br_only,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,504,360,48,23,73,3.1102323718136e-07,0.31859349963726635,0.6051392365837596,0.2865457369464932,0.8753315649867374,0.9946949602122016,0.11936339522546424,0.41732283464566927,0.4566929133858268,0.03937007874015752
br_any,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,564,413,129,5,17,0.01690053939819336,0.2961930973179029,0.31879579026488053,0.022602692946977643,0.8290398126463701,0.8688524590163934,0.03981264637002335,0.46715328467153283,0.4306569343065693,-0.036496350364963515
br_any,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,564,417,129,5,13,0.09625244140625,0.3086792055401376,0.31879579026488053,0.010116584724742916,0.8384074941451991,0.8688524590163934,0.030444964871194302,0.46715328467153283,0.4306569343065693,-0.036496350364963515
br_any,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,564,415,139,7,3,0.34375,0.3086792055401376,0.2961930973179029,-0.012486108222234726,0.8384074941451991,0.8290398126463701,-0.00936768149882905,0.46715328467153283,0.46715328467153283,0.0
br_any,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,564,389,48,29,98,5.966212469680181e-10,0.2961930973179029,0.6041170570342913,0.3079239597163884,0.8290398126463701,0.9929742388758782,0.16393442622950816,0.46715328467153283,0.45985401459854014,-0.007299270072992692
br_any,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,564,404,51,26,83,4.012118368340236e-08,0.31879579026488053,0.6041170570342913,0.2853212667694108,0.8688524590163934,0.9929742388758782,0.1241217798594848,0.4306569343065693,0.45985401459854014,0.029197080291970823
regional_benchmark_any,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,3111,2426,582,42,61,0.07561910758625795,0.575612463305959,0.587148323472843,0.011535860166883904,0.8372615039281706,0.8709315375982043,0.03367003367003374,0.7343867569601203,0.7035364936042137,-0.030850263355906682
regional_benchmark_any,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,3111,2435,588,36,52,0.1092954297773143,0.5768858851568786,0.587148323472843,0.010262438315964406,0.8479236812570146,0.8709315375982043,0.023007856341189736,0.7223476297968398,0.7035364936042137,-0.018811136192626088
regional_benchmark_any,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,3111,2441,613,30,27,0.7913664277791806,0.5768858851568786,0.575612463305959,-0.0012734218509194983,0.8479236812570146,0.8372615039281706,-0.010662177328844002,0.7223476297968398,0.7343867569601203,0.012039127163280594
regional_benchmark_any,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,3111,2007,269,461,374,0.0028966740934968887,0.575612463305959,0.5608387781748854,-0.014773685131073688,0.8372615039281706,0.9943883277216611,0.15712682379349052,0.7343867569601203,0.4582392776523702,-0.27614747930775013
regional_benchmark_any,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,3111,2057,300,430,324,0.0001283141496387269,0.587148323472843,0.5608387781748854,-0.026309545297957593,0.8709315375982043,0.9943883277216611,0.12345679012345678,0.7035364936042137,0.4582392776523702,-0.24529721595184345
abraom_common_benign,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,12099,10512,1338,242,7,2.4615840245140257e-62,0.0,0.0,0.0,,,,0.8888337879163567,0.8694106950987684,-0.01942309281758825
abraom_common_benign,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,12099,10500,1385,195,19,5.75296981554594e-38,0.0,0.0,0.0,,,,0.8839573518472601,0.8694106950987684,-0.014546656748491649
abraom_common_benign,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,12099,10662,1312,33,92,1.2560405612579237e-07,0.0,0.0,0.0,,,,0.8839573518472601,0.8888337879163567,0.004876436069096601
abraom_common_benign,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,12099,10589,337,165,1008,5.112588112210524e-148,0.0,0.0,0.0,,,,0.8888337879163567,0.9585089676832796,0.06967517976692295
abraom_common_benign,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,12099,10387,370,132,1210,1.9475691754361151e-218,0.0,0.0,0.0,,,,0.8694106950987684,0.9585089676832796,0.0890982725845112
abraom_pathogenic_present,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,163,51,107,0,5,0.0625,0.0,0.0,0.0,0.3128834355828221,0.34355828220858897,0.03067484662576686,,,
abraom_pathogenic_present,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,163,52,107,0,4,0.125,0.0,0.0,0.0,0.31901840490797545,0.34355828220858897,0.024539877300613522,,,
abraom_pathogenic_present,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,163,49,109,3,2,1.0,0.0,0.0,0.0,0.31901840490797545,0.3128834355828221,-0.006134969325153339,,,
abraom_pathogenic_present,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,163,43,84,8,28,0.0011932429624721408,0.0,0.0,0.0,0.3128834355828221,0.43558282208588955,0.12269938650306744,,,
abraom_pathogenic_present,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,163,47,83,9,24,0.013530986849218607,0.0,0.0,0.0,0.34355828220858897,0.43558282208588955,0.09202453987730058,,,
abraom_pathogenic_common,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,60,16,43,0,1,1.0,0.0,0.0,0.0,0.26666666666666666,0.2833333333333333,0.016666666666666663,,,
abraom_pathogenic_common,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,60,15,43,0,2,0.5,0.0,0.0,0.0,0.25,0.2833333333333333,0.033333333333333326,,,
abraom_pathogenic_common,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,60,15,44,0,1,1.0,0.0,0.0,0.0,0.25,0.26666666666666666,0.016666666666666663,,,
abraom_pathogenic_common,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,60,9,41,7,3,0.34375,0.0,0.0,0.0,0.26666666666666666,0.2,-0.06666666666666665,,,
abraom_pathogenic_common,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,60,9,40,8,3,0.2265625,0.0,0.0,0.0,0.2833333333333333,0.2,-0.08333333333333331,,,
global_nonbr_no_abraom,real_abraom_vs_scrambled,M7_dynamic_scrambled,M4_dynamic_gated,1989,1559,360,26,44,0.04139142867391546,0.538528773819855,0.5474008583293484,0.008872084509493394,0.8434718100890207,0.8753709198813057,0.03189910979228494,0.6989079563182528,0.6599063962558502,-0.03900156006240252
global_nonbr_no_abraom,real_abraom_vs_gnomad_only,M2_gnomad_only,M4_dynamic_gated,1989,1566,364,22,37,0.06744461190078899,0.5367919891656469,0.5474008583293484,0.010608869163701518,0.8545994065281899,0.8753709198813057,0.020771513353115778,0.6801872074882995,0.6599063962558502,-0.020280811232449292
global_nonbr_no_abraom,scrambled_vs_gnomad_only,M2_gnomad_only,M7_dynamic_scrambled,1989,1566,382,22,19,0.755228657504631,0.5367919891656469,0.538528773819855,0.0017367846542081233,0.8545994065281899,0.8434718100890207,-0.011127596439169163,0.6801872074882995,0.6989079563182528,0.018720748829953227
global_nonbr_no_abraom,m5_v2_vs_scrambled,M7_dynamic_scrambled,M5_v2_calibrated,1989,1378,310,207,94,6.481929688140734e-11,0.538528773819855,0.50006754101164,-0.03846123280821501,0.8434718100890207,0.6906528189910979,-0.15281899109792285,0.6989079563182528,0.84399375975039,0.14508580343213728
global_nonbr_no_abraom,m5_v2_vs_m4_real,M4_dynamic_gated,M5_v2_calibrated,1989,1354,268,249,118,6.948140738653201e-12,0.5474008583293484,0.50006754101164,-0.0473333173177084,0.8753709198813057,0.6906528189910979,-0.1847181008902078,0.6599063962558502,0.84399375975039,0.1840873634945398
